DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330005,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,NY - Buffalo,55,"$14,561.61 ","$7,352.65 ","$6,334.41 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,NY - White Plains,14,"$8,284.21 ","$8,460.92 ","$7,432.28 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,12,"$22,540.50 ","$15,419.83 ","$14,104.50 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330013,ALBANY MEDICAL CENTER HOSPITAL,43 NEW SCOTLAND AVENUE,ALBANY,NY,12208,NY - Albany,33,"$33,662.39 ","$9,150.90 ","$7,110.48 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,NY - East Long Island,23,"$10,361.56 ","$11,044.04 ","$10,165.08 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,NY - Manhattan,21,"$20,655.14 ","$9,809.95 ","$9,007.47 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,NY - Albany,48,"$32,914.27 ","$6,489.60 ","$5,577.85 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NY - Manhattan,102,"$31,751.00 ","$12,590.08 ","$11,432.90 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NY - East Long Island,29,"$19,184.72 ","$11,271.89 ","$10,454.37 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,10304,NY - Manhattan,13,"$23,190.30 ","$9,181.61 ","$8,146.53 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330043,SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,NY - East Long Island,28,"$23,465.85 ","$7,271.57 ","$6,392.42 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,NY - Elmira,33,"$10,959.96 ","$5,096.96 ","$3,798.27 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330045,HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,NY - East Long Island,58,"$26,444.43 ","$6,192.51 ","$5,338.50 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330046,ST LUKE'S ROOSEVELT HOSPITAL,1111 AMSTERDAM AVENUE,NEW YORK,NY,10025,NY - Manhattan,71,"$40,586.71 ","$12,038.73 ","$10,752.54 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330047,ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,NY - Albany,11,"$13,079.63 ","$4,809.45 ","$3,889.09 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,NY - Albany,17,"$22,839.76 ","$6,248.00 ","$5,454.58 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330055,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,NY - East Long Island,38,"$23,346.68 ","$9,007.28 ","$8,238.65 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330056,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,NY,11201,NY - Manhattan,14,"$18,455.57 ","$11,353.07 ","$10,475.07 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,NY - Albany,17,"$23,797.88 ","$5,746.47 ","$4,843.58 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,105,"$43,850.77 ","$12,149.81 ","$10,790.94 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330061,LAWRENCE HOSPITAL CENTER,55 PALMER AVENUE,BRONXVILLE,NY,10708,NY - White Plains,23,"$26,132.08 ","$7,180.86 ","$6,248.47 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330064,NEW YORK DOWNTOWN HOSPITAL,170 WILLIAM STREET,NEW YORK,NY,10038,NY - Manhattan,13,"$18,786.76 ","$11,929.53 ","$10,979.07 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330067,ST FRANCIS HOSPITAL,241 NORTH ROAD,POUGHKEEPSIE,NY,12601,NY - Albany,43,"$27,756.79 ","$7,456.95 ","$6,749.13 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330078,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,BUFFALO,NY,14214,NY - Buffalo,11,"$13,449.63 ","$5,767.54 ","$4,853.00 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330080,LINCOLN MEDICAL & MENTAL HEALTH CENTER,234 EAST 149TH STREET,BRONX,NY,10451,NY - Bronx,21,"$13,835.09 ","$13,583.28 ","$12,676.04 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330086,MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,NY - White Plains,12,"$10,369.83 ","$8,643.41 ","$7,797.08 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,NY - Elmira,13,"$11,200.92 ","$5,409.84 ","$4,720.61 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,NY - Albany,20,"$13,239.20 ","$5,977.30 ","$4,676.70 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,NY,10021,NY - Manhattan,163,"$41,609.15 ","$12,118.48 ","$10,505.14 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,NJ - Hackensack,31,"$23,216.48 ","$6,969.22 ","$6,135.54 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NY - East Long Island,108,"$52,757.82 ","$9,947.56 ","$8,684.89 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330107,PECONIC BAY MEDICAL CENTER,1300 ROANOKE AVENUE,RIVERHEAD,NY,11901,NY - East Long Island,18,"$28,914.94 ","$6,906.77 ","$5,545.33 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330108,"ST JOSEPH'S HOSPITAL, INC",555 EAST MARKET STREET,ELMIRA,NY,14902,NY - Elmira,11,"$14,777.45 ","$5,968.27 ","$5,456.63 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,10021,NY - Manhattan,40,"$67,397.65 ","$10,014.65 ","$9,013.45 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330125,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,ROCHESTER,NY,14621,NY - Rochester,23,"$14,337.39 ","$6,061.82 ","$5,255.34 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330126,ORANGE REGIONAL MEDICAL CENTER,707 EAST MAIN STREET,MIDDLETOWN,NY,10940,NY - White Plains,31,"$32,647.54 ","$6,443.16 ","$5,412.74 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,NY - Bronx,13,"$17,476.23 ","$12,181.23 ","$11,489.53 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330128,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,ELMHURST,NY,11373,NY - East Long Island,18,"$28,423.72 ","$12,485.94 ","$11,677.27 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,NY - Albany,13,"$13,748.61 ","$8,304.15 ","$7,448.15 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,301 PROSPECT AVENUE,SYRACUSE,NY,13203,NY - Syracuse,23,"$21,995.34 ","$7,557.60 ","$6,822.13 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,NY - East Long Island,28,"$40,757.89 ","$6,591.07 ","$5,628.78 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330152,LONG ISLAND COLLEGE HOSPITAL,339 HICKS STREET,BROOKLYN,NY,11201,NY - Manhattan,13,"$27,314.00 ","$11,063.30 ","$10,030.69 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330153,ELLIS HOSPITAL,1101 NOTT STREET,SCHENECTADY,NY,12308,NY - Albany,11,"$16,065.63 ","$5,521.72 ","$4,804.27 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330157,SAMARITAN MEDICAL CENTER,830 WASHINGTON STREET,WATERTOWN,NY,13601,NY - Syracuse,12,"$17,106.91 ","$8,515.00 ","$7,765.66 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,255 LAFAYETTE AVENUE,SUFFERN,NY,10901,NJ - Ridgewood,26,"$33,856.19 ","$7,310.92 ","$6,378.53 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,NY - Manhattan,57,"$26,132.47 ","$8,888.36 ","$8,079.19 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330162,NORTHERN WESTCHESTER HOSPITAL,400 EAST MAIN STREET,MOUNT KISCO,NY,10549,NY - White Plains,28,"$18,342.42 ","$6,154.50 ","$5,394.35 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330167,WINTHROP-UNIVERSITY HOSPITAL,259 FIRST STREET,MINEOLA,NY,11501,NY - East Long Island,49,"$36,405.81 ","$8,971.28 ","$6,896.36 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330169,BETH ISRAEL MEDICAL CENTER,FIRST AVENUE AT 16TH STREET,NEW YORK,NY,10003,NY - Manhattan,116,"$34,283.56 ","$10,651.64 ","$9,816.81 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330180,SAMARITAN HOSPITAL,2215 BURDETT AVENUE,TROY,NY,12180,NY - Albany,17,"$14,177.23 ","$5,047.29 ","$4,191.05 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330181,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NY - East Long Island,30,"$24,101.10 ","$6,535.73 ","$5,718.30 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330182,"ST FRANCIS HOSPITAL, ROSLYN",100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NY - East Long Island,19,"$38,260.63 ","$6,290.94 ","$5,519.78 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330184,SOUND SHORE MEDICAL CENTER OF WESTSCHESTER,16 GUION PLACE,NEW ROCHELLE,NY,10802,NY - Bronx,28,"$15,809.57 ","$9,239.71 ","$8,476.14 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,NY - East Long Island,23,"$26,293.08 ","$6,590.13 ","$4,767.60 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330191,GLENS FALLS HOSPITAL,100 PARK STREET,GLENS FALLS,NY,12801,NY - Albany,25,"$11,924.36 ","$4,665.08 ","$3,809.88 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330193,FLUSHING HOSPITAL MEDICAL CENTER,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,11355,NY - East Long Island,31,"$15,972.45 ","$10,486.77 ","$9,687.54 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,NY,11219,NY - Manhattan,49,"$38,575.36 ","$11,960.24 ","$11,022.20 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NY - East Long Island,44,"$41,033.38 ","$10,629.31 ","$9,800.38 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330196,CONEY ISLAND HOSPITAL,2601 OCEAN PARKWAY,BROOKLYN,NY,11235,NY - Manhattan,33,"$13,807.78 ","$11,101.33 ","$10,352.45 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NY - East Long Island,37,"$23,067.05 ","$6,629.02 ","$5,777.56 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330201,KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,NY,11203,NY - Manhattan,15,"$29,731.46 ","$9,042.93 ","$8,214.93 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330202,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVENUE,BROOKLYN,NY,11203,NY - Manhattan,15,"$16,525.20 ","$12,511.00 ","$11,609.66 "
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,NY - Syracuse,21,"$16,101.66 ","$6,995.90 ","$6,197.95 "
